record_id,data_type,subfield,longitude,latitude,region_code,province,city,inheritance_value,media_value,marketing_value,education_value,academic_value,exhibition_value,overall_strength,grid_id,core_area
YX_39256,Precise Point,Inheritance,114.0982,39.6115,130700,Hebei,Zhangjiakou,7.0830718990517045,0.0,0.0,0.0,0.0,0.0,7.0830718990517045,,1
YX_81482,Precise Point,Inheritance,114.8097,40.0132,130700,Hebei,Zhangjiakou,8.361655943320027,0.0,0.0,0.0,0.0,0.0,8.361655943320027,,1
YX_22280,Precise Point,Inheritance,114.6637,39.3683,130700,Hebei,Zhangjiakou,7.353305411386286,0.0,0.0,0.0,0.0,0.0,7.353305411386286,,1
YX_83563,Precise Point,Inheritance,114.3059,39.9385,130700,Hebei,Zhangjiakou,8.411904385675877,0.0,0.0,0.0,0.0,0.0,8.411904385675877,,1
YX_64987,Precise Point,Inheritance,114.7892,40.0378,130700,Hebei,Zhangjiakou,8.361140179936177,0.0,0.0,0.0,0.0,0.0,8.361140179936177,,1
YX_10851,Precise Point,Inheritance,114.5224,39.6147,130700,Hebei,Zhangjiakou,8.737096519578298,0.0,0.0,0.0,0.0,0.0,8.737096519578298,,1
YX_30379,Precise Point,Inheritance,114.7713,39.6768,130700,Hebei,Zhangjiakou,8.587428316431119,0.0,0.0,0.0,0.0,0.0,8.587428316431119,,1
YX_22156,Precise Point,Inheritance,115.0304,39.6731,130700,Hebei,Zhangjiakou,7.3052756070019775,0.0,0.0,0.0,0.0,0.0,7.3052756070019775,,1
YX_89131,Precise Point,Education,114.1699,40.184,130700,Hebei,Zhangjiakou,0.0,0.0,0.0,5.3117093829773125,0.0,0.0,5.3117093829773125,,1
YX_80284,Precise Point,Education,114.8803,40.0662,130700,Hebei,Zhangjiakou,0.0,0.0,0.0,5.783623925087362,0.0,0.0,5.783623925087362,,1
YX_82357,Precise Point,Inheritance,115.0463,39.715,130700,Hebei,Zhangjiakou,7.289051249220257,0.0,0.0,0.0,0.0,0.0,7.289051249220257,,1
YX_57400,Precise Point,Education,114.9026,39.955,130700,Hebei,Zhangjiakou,0.0,0.0,0.0,5.8897537227060806,0.0,0.0,5.8897537227060806,,1
YX_39871,Precise Point,Inheritance,114.7778,39.3823,130700,Hebei,Zhangjiakou,7.235425129651386,0.0,0.0,0.0,0.0,0.0,7.235425129651386,,1
YX_23238,Precise Point,Education,115.0584,40.1918,130700,Hebei,Zhangjiakou,0.0,0.0,0.0,5.092680057745878,0.0,0.0,5.092680057745878,,1
YX_57819,Precise Point,Education,114.3512,39.9722,130700,Hebei,Zhangjiakou,0.0,0.0,0.0,6.174782406159451,0.0,0.0,6.174782406159451,,1
YX_44993,Precise Point,Inheritance,114.4434,39.546,130700,Hebei,Zhangjiakou,8.23409546998167,0.0,0.0,0.0,0.0,0.0,8.23409546998167,,1
YX_42087,Precise Point,Inheritance,114.6823,39.5076,130700,Hebei,Zhangjiakou,8.076948104261314,0.0,0.0,0.0,0.0,0.0,8.076948104261314,,1
YX_93886,Precise Point,Inheritance,114.5355,39.6064,130700,Hebei,Zhangjiakou,8.706144008682712,0.0,0.0,0.0,0.0,0.0,8.706144008682712,,1
YX_17331,Precise Point,Inheritance,114.7578,40.1794,130700,Hebei,Zhangjiakou,7.838847809912271,0.0,0.0,0.0,0.0,0.0,7.838847809912271,,1
YX_62581,Precise Point,Inheritance,114.895,40.1415,130700,Hebei,Zhangjiakou,7.53909063413193,0.0,0.0,0.0,0.0,0.0,7.53909063413193,,1
YX_84341,Precise Point,Education,114.1394,40.2496,130700,Hebei,Zhangjiakou,0.0,0.0,0.0,5.1001216183453595,0.0,0.0,5.1001216183453595,,1
YX_94259,Precise Point,Education,114.2858,39.8357,130700,Hebei,Zhangjiakou,0.0,0.0,0.0,6.088612350246415,0.0,0.0,6.088612350246415,,1
YX_83579,Precise Point,Education,114.2161,39.4761,130700,Hebei,Zhangjiakou,0.0,0.0,0.0,5.390966384684796,0.0,0.0,5.390966384684796,,1
YX_86484,Precise Point,Education,114.8202,39.7649,130700,Hebei,Zhangjiakou,0.0,0.0,0.0,6.18439673856202,0.0,0.0,6.18439673856202,,1
YX_28131,Precise Point,Education,114.4352,40.3338,130700,Hebei,Zhangjiakou,0.0,0.0,0.0,5.36316825657847,0.0,0.0,5.36316825657847,,1
YX_24371,Precise Point,Education,114.1641,39.3836,130700,Hebei,Zhangjiakou,0.0,0.0,0.0,5.06449637923787,0.0,0.0,5.06449637923787,,1
YX_65333,Precise Point,Inheritance,114.7006,40.1286,130700,Hebei,Zhangjiakou,8.231361648046352,0.0,0.0,0.0,0.0,0.0,8.231361648046352,,1
YX_71348,Precise Point,Inheritance,114.458,39.9324,130700,Hebei,Zhangjiakou,9.167996629815491,0.0,0.0,0.0,0.0,0.0,9.167996629815491,,1
